,string,start_ms,end_ms,latency_ms
382,p,1093.0459,1093.4087,0.3627999999998792
383,r,1093.4436,1093.7789,0.3352999999999611
384,e,1093.8079,1094.1401,0.3322000000000571
385,s,1094.1687,1094.516,0.34730000000013206
386,s,1094.5449,1094.8454,0.300499999999829
387,è,1094.8824,1095.196,0.31359999999995125
388,d,1095.2249,1095.5497,0.3248000000000957
389, ,1095.5925,1096.0708,0.4782999999999902
390,b,1096.1085,1096.4772,0.3686999999999898
391,r,1096.5118,1096.8545,0.3426999999999225
392,a,1096.8828,1097.2083,0.32549999999991996
393,i,1097.2379,1097.5478,0.30989999999997053
394,n,1097.5757,1097.8919,0.3161999999999807
395,?,1097.9213,1098.2744,0.3531000000000404
396, ,1098.3032,1098.6276,0.3243999999999687
397,I,1098.6562,1098.9581,0.3019000000001597
398, ,1098.986,1099.2875,0.30149999999980537
399,s,1099.3165,1099.6185,0.3020000000001346
400,e,1099.647,1099.9546,0.30760000000009313
401,e,1099.9828,1100.2763,0.29349999999999454
402, ,1100.3045,1100.6374,0.3329000000001088
403,t,1100.6657,1100.9885,0.3227999999999156
404,h,1101.0174,1101.311,0.29359999999996944
405,e,1101.3395,1101.6463,0.3068000000000666
406,e,1101.6891,1101.9872,0.2980999999999767
407, ,1102.0154,1102.3218,0.3063999999999396
408,y,1102.3502,1102.6619,0.31169999999997344
409,e,1102.6902,1103.0,0.30979999999999563
410,t,1103.0393,1103.3381,0.2988000000000284
411,",",1103.3666,1103.6654,0.2988000000000284
412, ,1103.6935,1104.0452,0.35169999999993706
413,i,1104.0742,1104.3981,0.3239000000000942
414,n,1104.4266,1104.8473,0.42069999999989705
415, ,1104.8929,1105.2005,0.30759999999986576
416,f,1105.2294,1105.5397,0.3103000000000975
417,o,1105.5676,1105.8846,0.3170000000000073
418,r,1105.9132,1106.2486,0.33539999999993597
419,m,1106.2776,1106.606,0.3284000000001015
420, ,1106.6343,1106.9576,0.32330000000001746
421,a,1106.9857,1107.2944,0.3087000000000444
422,s,1107.3231,1107.6213,0.2981999999999516
423, ,1107.6498,1107.9518,0.3020000000001346
424,p,1107.98,1108.2734,0.29340000000001965
425,a,1108.3111,1108.629,0.31790000000000873
426,l,1108.6574,1108.955,0.29759999999987485
427,p,1108.9827,1109.3176,0.3349000000000615
428,a,1109.3505,1109.6952,0.3447000000001026
429,b,1109.7266,1110.0594,0.3328000000001339
430,l,1110.0936,1110.4129,0.31930000000011205
431,e,1110.4538,1110.8005,0.3467000000000553
432, ,1110.8338,1111.1954,0.36159999999995307
433,A,1111.2255,1111.5385,0.31300000000010186
434,s,1111.5715,1111.8893,0.31780000000003383
435, ,1111.9179,1112.2341,0.3161999999999807
436,t,1112.2622,1112.5664,0.3042000000000371
437,h,1112.5948,1112.9295,0.3346999999998843
438,i,1112.9578,1113.2576,0.29980000000000473
439,s,1113.2858,1113.6189,0.3330999999998312
440, ,1113.6508,1113.9952,0.3444000000001779
441,w,1114.0287,1114.3535,0.3247999999998683
442,h,1114.3834,1114.7162,0.3328000000001339
443,i,1114.7445,1115.0438,0.29929999999990287
444,c,1115.0733,1115.4023,0.3289999999999509
445,h,1115.4312,1115.7622,0.3309999999999036
446, ,1115.7902,1116.1116,0.32140000000003965
447,n,1116.14,1116.6487,0.5086999999998625
448,o,1116.686,1117.1037,0.417699999999968
449,w,1117.1377,1117.5821,0.44440000000008695
450, ,1117.62,1117.9924,0.3724000000001979
451,I,1118.0233,1118.3609,0.3375999999998385
452, ,1118.3913,1118.73,0.3387000000000171
453,d,1118.7625,1119.1144,0.35189999999988686
454,r,1119.1431,1119.4511,0.3079999999999927
455,a,1119.4796,1119.8455,0.36590000000001055
456,w,1119.8788,1120.2324,0.35360000000014224
457,.,1120.2648,1120.6409,0.3761000000001786
458,H,1120.671,1121.0219,0.3508999999999105
459,e,1121.0527,1121.3714,0.3187000000000353
460, ,1121.4005,1121.733,0.3324999999999818
461,d,1121.7618,1122.0727,0.3108999999999469
462,r,1122.1025,1122.4425,0.3400000000001455
463,a,1122.4758,1122.7953,0.31950000000006185
464,w,1122.8247,1123.1729,0.3482000000001335
465,s,1123.2032,1123.6024,0.3992000000000644
466, ,1123.6365,1123.9945,0.35799999999994725
467,h,1124.0346,1124.3702,0.33560000000011314
468,i,1124.3994,1124.7218,0.322400000000016
469,s,1124.752,1125.1195,0.36750000000006366
470, ,1125.1497,1125.5633,0.4136000000000877
471,d,1125.5944,1125.9218,0.32740000000012515
472,a,1125.953,1126.2845,0.33150000000000546
473,g,1126.3151,1126.6588,0.34369999999989886
474,g,1126.6877,1126.9965,0.3088000000000193
475,e,1127.0263,1127.3564,0.33009999999990214
476,r,1127.3852,1127.7127,0.32750000000010004
477,.,1127.7419,1128.0546,0.3126999999999498
478, ,1128.0832,1128.4182,0.3350000000000364
479,T,1128.448,1128.7637,0.31569999999987886
480,h,1128.7921,1129.0961,0.3040000000000873
481,o,1129.1349,1129.4557,0.3207999999999629
482,u,1129.4837,1129.7953,0.31159999999999854
483, ,1129.8242,1130.1749,0.3506999999999607
484,m,1130.2041,1130.5058,0.30169999999998254
485,a,1130.5356,1130.852,0.3164000000001579
486,r,1130.8815,1131.1925,0.31100000000014916
487,s,1131.2316,1131.5508,0.3191999999999098
488,h,1131.579,1131.8865,0.30750000000011823
489,a,1131.9159,1132.246,0.3301000000001295
490,l,1132.2745,1132.5768,0.3023000000000593
491,’,1132.6093,1132.9266,0.31729999999993197
492,s,1132.9566,1133.3179,0.3613000000000284
493,t,1133.3529,1133.8544,0.5014999999998508
494, ,1133.9,1134.4541,0.5540999999998348
495,m,1134.4908,1134.9446,0.4538000000000011
496,e,1134.9778,1135.3727,0.3949000000000069
497, ,1135.4038,1135.9321,0.5282999999999447
498,t,1135.9673,1136.4088,0.4414999999999054
499,h,1136.4433,1136.9277,0.48440000000005057
500,e,1136.9576,1137.4679,0.510300000000143
501, ,1137.5181,1138.0549,0.5368000000000848
502,w,1138.0887,1138.5899,0.5011999999999261
503,a,1138.6269,1139.0222,0.3953000000001339
504,y,1139.0614,1139.4687,0.4072999999998501
505, ,1139.498,1139.8685,0.3704999999999927
506,t,1139.8974,1140.2481,0.3506999999999607
507,h,1140.277,1140.6583,0.3813000000000102
508,a,1140.6866,1140.9941,0.30749999999989086
509,t,1141.0267,1141.3954,0.3687000000002172
510, ,1141.4277,1141.7613,0.33359999999993306
511,I,1141.7915,1142.1537,0.36220000000002983
512, ,1142.1848,1142.5048,0.31999999999993634
513,w,1142.534,1142.8716,0.3375999999998385
514,a,1142.9008,1143.204,0.30320000000006075
515,s,1143.245,1143.5422,0.29720000000020264
516, ,1143.5703,1143.8718,0.30149999999980537
517,g,1143.9009,1144.2125,0.31159999999999854
518,o,1144.2405,1144.5422,0.30169999999998254
519,i,1144.571,1144.8964,0.32540000000017244
520,n,1144.9247,1145.2595,0.3347999999998592
521,g,1145.2968,1145.5931,0.2962999999999738
522,",",1145.6216,1145.945,0.32339999999999236
523, ,1145.9734,1146.2996,0.3261999999999716
524,A,1146.3281,1146.635,0.3069000000000415
525,n,1146.6633,1146.9827,0.31940000000008695
526,d,1147.0105,1147.3119,0.30139999999983047
527, ,1147.3445,1147.6823,0.33780000000001564
528,s,1147.7099,1148.026,0.3161000000000058
529,u,1148.0542,1148.4117,0.35750000000007276
530,c,1148.4397,1148.7539,0.314200000000028
531,h,1148.7816,1149.1058,0.3242000000000189
532, ,1149.1338,1149.4443,0.3105000000000473
533,a,1149.4729,1149.7781,0.30520000000001346
534,n,1149.806,1150.114,0.3079999999999927
535, ,1150.1422,1150.432,0.2898000000000138
536,i,1150.4599,1150.7542,0.2943000000000211
537,n,1150.7825,1151.1947,0.41219999999998436
538,s,1151.2247,1151.6215,0.3967999999999847
539,t,1151.6661,1152.0648,0.3987000000001899
540,r,1152.0997,1152.502,0.40229999999996835
541,u,1152.5334,1152.9104,0.3769999999999527
542,m,1152.9567,1153.4212,0.46450000000004366
543,e,1153.4601,1154.0384,0.5782999999998992
544,n,1154.11,1154.6274,0.5174000000001797
545,t,1154.6758,1155.2003,0.5244999999999891
546, ,1155.2553,1155.8664,0.6111000000000786
547,I,1155.9274,1156.5557,0.6282999999998538
548, ,1156.5995,1157.2312,0.6316999999999098
549,w,1157.3032,1157.9961,0.6929000000000087
550,a,1158.0674,1158.7125,0.6451000000001841
551,s,1158.7647,1159.3787,0.6140000000000327
552, ,1159.4372,1160.1127,0.675499999999829
553,t,1160.1486,1160.7514,0.6028000000001157
554,o,1160.7879,1161.264,0.4760999999998603
555, ,1161.3011,1161.8763,0.5751999999999953
556,u,1161.9178,1162.516,0.5982000000001335
557,s,1162.5746,1163.1744,0.5998000000001866
558,e,1163.2305,1163.8879,0.6574000000000524
559,.,1163.9436,1164.722,0.7783999999999196
560, ,1164.787,1165.5901,0.8030999999998585
561,M,1165.6436,1166.2852,0.6415999999999258
562,i,1166.338,1166.8084,0.4703999999999269
563,n,1166.8432,1167.4528,0.6096000000000004
564,e,1167.4899,1167.9808,0.49090000000001055
565, ,1168.0173,1168.5262,0.5089000000000397
566,e,1168.5662,1169.0642,0.4980000000000473
567,y,1169.0987,1169.5686,0.4699000000000524
