,string,start_ms,end_ms,latency_ms,type
227,t,1035.3654,1035.6821,0.3167,gRPC
228,h,1035.7214,1036.0305,0.3091,gRPC
229,e,1036.0597,1036.3564,0.2967,gRPC
230,e,1036.3852,1036.7225,0.3373,gRPC
231, ,1036.7512,1037.0587,0.3075,gRPC
232,s,1037.087,1037.4206,0.3336,gRPC
233,t,1037.4508,1037.7843,0.3335,gRPC
234,i,1037.8178,1038.1435,0.3257,gRPC
235,l,1038.1739,1038.5031,0.3292,gRPC
236,l,1038.5449,1038.8771,0.3322,gRPC
237,.,1038.9065,1039.2118,0.3053,gRPC
238, ,1039.2401,1039.5714,0.3313,gRPC
239,A,1039.6014,1039.9246,0.3232,gRPC
240,r,1039.9532,1040.2823,0.3291,gRPC
241,t,1040.3109,1040.6199,0.309,gRPC
242, ,1040.6489,1040.9567,0.3078,gRPC
243,t,1040.9959,1041.328,0.3321,gRPC
244,h,1041.3564,1041.6801,0.3237,gRPC
245,o,1041.7916,1042.1743,0.3827,gRPC
246,u,1042.2041,1042.5565,0.3524,gRPC
247, ,1042.5855,1042.8931,0.3076,gRPC
